selfies,target
[C][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],0.4
[C][NH2+1][C][C][C][Branch2][Ring1][Ring2][O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1],0.45
[C][C][=Branch1][C][=O][N][C][C][C][C][Branch1][C][C][C][Ring1][#Branch1],0.4899999999999999
[N][C][=C][C][=C][C][Branch1][=Branch1][C][=Branch1][C][=O][O-1][=C][Ring1][=Branch2],0.4899999999999999
[C][C][=Branch1][C][=O][N][C][=N][N][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][S][Ring1][=Branch2],0.5999999999999999
[NH3+1][C][Branch1][Ring1][C][F][Branch1][#C][C][C][=C][NH1][C][=C][C][=C][C][=C][Ring1][=Branch2][Ring1][=Branch1][C][=Branch1][C][=O][O-1],0.75
[C][S][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],0.82
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],0.82
[O][C][C][Branch1][C][O][C][O],0.96
[C][NH2+1][C][C][C][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.0
[O][C][C][O][C][Branch2][Ring1][Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O],1.0
[O][C][C][O][C][Branch2][Ring1][Branch1][O][C][C][Branch1][Ring1][C][O][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O],1.0
[N][C][=Branch1][C][=NH2+1][N][C][C][C][O],1.01
[C][O][C][=C][C][Branch1][=C][C][C][=C][N][=C][Branch1][C][N][N][=C][Ring1][#Branch1][N][=C][C][Branch1][Ring1][O][C][=C][Ring1][P][O][C],1.11
[O][=C][Branch1][C][O-1][C][C][C][=Branch1][C][=O][O-1],1.24
[O][=C][Branch1][C][O-1][C][C][Branch1][C][O][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][=Branch1][C][=O][O-1],1.24
[N][C][=Branch1][C][=NH2+1][N][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.26
[N][C][=Branch1][C][=NH2+1][N][C][C][Branch1][C][NH3+1][C][=Branch1][C][=O][O-1],1.26
[O][=C][O][C][Branch1][#Branch1][C][Branch1][C][O][C][O][C][Branch1][C][O][=C][Ring1][#Branch2][O],1.28
[O][C][C][O][C][Branch2][Ring1][Branch1][O][C][Branch1][Ring1][C][O][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O].[O][C][C][O][C][Branch2][Ring1][Branch1][O][C][Branch1][Ring1][C][O][O][C][Branch1][Ring1][C][O][C][Branch1][C][O][C][Ring1][#Branch2][O][C][Branch1][C][O][C][Branch1][C][O][C][Ring2][Ring1][Ring2][O],1.3
